continet	country	energyuse	pop	povertyshare
Europe	Albania	9402.34	3600523	0
Africa	Algeria	15364.39	33333216	0
Africa	Angola	6338.82	12420476	0
Americas	Argentina	23436.63	40301927	0.7
Oceania	Australia	61967.25	20434176	0
Europe	Austria	43767.5	8199783	0.2
Asia	Bahrain	123208.19	708573	26
Asia	Bangladesh	2584.43	150448339	0
Europe	Belgium	54756.61	10392226	0
Africa	Benin	4847.33	8078314	0
Americas	Bolivia	9173.79	9119152	5.8
Europe	Bosnia and Herzegovina	25516.87	4552198	0
Africa	Botswana	14568.67	1639131	0
Americas	Brazil	17269.7	190010647	2.8
Europe	Bulgaria	28815.13	7322858	1.5
Africa	Burkina Faso	104167.82	14326203	43.7
Asia	Cambodia	4849.01	14131858	0
Africa	Cameroon	3975.86	17696293	23.8
Americas	Canada	91598.97	33390141	0
Americas	Chile	23837.88	16284741	0
Asia	China	26013.17	1318683096	1.4
Americas	Colombia	8275.71	44227550	5
Americas	Costa Rica	11992.18	4133884	1.4
Africa	Cote d'Ivoire	7161.79	18013409	0
Europe	Croatia	22071.89	4493312	1
Americas	Cuba	11893.64	11416987	0
Europe	Czech Republic	45532.77	10228744	0
Europe	Denmark	33408.03	5468120	0.2
Americas	Dominican Republic	8541.16	9319622	2.3
Americas	Ecuador	10370.34	13755680	2.6
Africa	Egypt	9478.31	80264543	0
Americas	El Salvador	7528.21	6939688	3
Africa	Ethiopia	5777.95	76511887	0
Europe	Finland	72261.35	5238460	0
Europe	France	42552.61	61083916	0
Africa	Gabon	31468.73	1454867	0
Europe	Germany	43955.14	82400996	0
Africa	Ghana	3896.64	22873338	0
Europe	Greece	24700.93	10706290	1.5
Americas	Guatemala	9654	12572928	8.7
Americas	Haiti	4568.28	8502814	14.8
Americas	Honduras	7069.47	7483763	15.9
Europe	Hungary	26917.59	9956108	0.7
Europe	Iceland	208364.48	301931	10
Asia	India	7413.29	1110396331	27.34
Asia	Indonesia	10279.88	223547000	7.9
Asia	Iran	35163.19	69453570	0.2
Asia	Iraq	16438.96	27499638	0
Europe	Ireland	31884.52	4109086	0.5
Asia	Israel	32127.94	6426679	0
Europe	Italy	28080.45	58147733	1.2
Americas	Jamaica	11412.66	2780132	0
Asia	Japan	40364.98	127467972	0
Asia	Jordan	10798.69	6053193	0
Africa	Kenya	5971.15	35610177	0
Asia	Kuwait	104167.82	2505559	23
Asia	Lebanon	15553.57	3921278	0
Africa	Liberia	104167.82	3193942	38.6
Africa	Libya	33496.07	6036914	0
Asia	Malaysia	34512.51	24821286	0
Africa	Mauritania	104167.82	3270065	21
Africa	Mauritius	12925.84	1250882	0
Americas	Mexico	17599.2	108700891	4.1
Asia	Mongolia	21378.72	2874127	0.2
Europe	Montenegro	17890.01	684736	0
Africa	Morocco	6432.6	33757175	0
Africa	Mozambique	104167.82	19951656	62.9
Asia	Myanmar	4324.84	47761980	0
Africa	Namibia	8857.58	2055080	0
Asia	Nepal	4799.99	28901790	0
Europe	Netherlands	50305.84	16570613	0
Oceania	New Zealand	53031.55	4115771	0
Americas	Nicaragua	7082.75	5675356	3.2
Africa	Niger	104167.82	12894865	44.5
Africa	Nigeria	8878.24	135031164	0
Europe	Norway	65077.46	4627926	0
Asia	Oman	71428.82	3204897	0
Asia	Pakistan	5634.1	169270617	0
Americas	Panama	12550.28	3242173	3.5
Americas	Paraguay	9172.46	6667147	2.4
Americas	Peru	8928.23	28674757	3.7
Asia	Philippines	5538.73	91077287	0
Europe	Poland	28765.72	38518241	0
Europe	Portugal	23661.38	10642836	0.5
Europe	Romania	18511.09	22276056	7.5
Asia	Saudi Arabia	80679.99	27601038	0
Africa	Senegal	3164.31	12267493	0
Europe	Serbia	21625.16	10150265	0
Asia	Singapore	59566.58	4553009	0
Europe	Slovenia	37637.43	2009245	0
Africa	South Africa	65077.46	43997828	18.9
Europe	Spain	28663.78	40448191	0.7
Asia	Sri Lanka	5997.41	20378239	0
Africa	Sudan	4429.56	42292929	0
Europe	Sweden	57759.65	9031088	0.5
Europe	Switzerland	35587.06	7554661	0
Africa	Tanzania	5529.22	38139640	0
Asia	Thailand	22906.84	65068149	0
Africa	Togo	5311.12	5701579	0
Americas	Trinidad and Tobago	168015.7	1056608	17
Africa	Tunisia	10974.15	10276158	0
Europe	Turkey	18350.14	71158647	0.3
Europe	United Kingdom	32294.7	60776238	0.2
Americas	United States	80892.74	301139947	0
Americas	Uruguay	16029.32	3447496	0.1
Asia	Vietnam	0	85262356	2.6